time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value functions;method;process time
2023-07-09 00:38:02;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;['robust_volume'];ShapleyValue;27877.820748837
2023-07-09 00:38:26;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;['robust_volume'];ShapleyValue;25533.99910658
2023-07-09 00:38:51;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;['robust_volume'];ShapleyValue;25224.340661198
2023-07-09 00:37:36;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;['data_quantity'];ShapleyValue;8.448236855845703
2023-07-09 00:37:37;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;['data_quantity'];ShapleyValue;23.522027595000974
2023-07-09 00:37:37;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;['data_quantity'];ShapleyValue;12.988904246055665
2023-07-09 00:37:37;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['data_quantity'];ShapleyValue;102.46938092042578
2023-07-09 00:37:38;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['data_quantity'];ShapleyValue;386.90641165770313
2023-07-09 00:37:42;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['data_quantity'];ShapleyValue;120.31421716844922
2023-07-09 00:37:43;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['data_quantity'];ShapleyValue;166.10952713548437
2023-07-09 00:37:46;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['data_quantity'];ShapleyValue;186.08353443403905
2023-07-09 00:37:48;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['data_quantity'];ShapleyValue;107.08650449566798
2023-07-09 00:37:56;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['data_quantity'];ShapleyValue;1424.653722911625
2023-07-09 00:38:01;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['gradient_similarity'];ShapleyValue;8940.2486275515
2023-07-09 00:38:03;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;['gradient_similarity'];ShapleyValue;26496.46104818
2023-07-09 00:38:09;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['gradient_similarity'];ShapleyValue;32006.371824821
2023-07-09 00:38:11;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['gradient_similarity'];ShapleyValue;32708.67456418
2023-07-09 00:38:18;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['data_quantity'];ShapleyValue;1281.769058726125
2023-07-09 00:38:20;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;['gradient_similarity'];ShapleyValue;17815.821278797
2023-07-09 00:38:30;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['gradient_similarity'];ShapleyValue;8654.072381131
2023-07-09 00:38:40;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['data_quantity'];ShapleyValue;1369.25002631475
2023-07-09 00:38:42;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;['gradient_similarity'];ShapleyValue;21007.571577291
2023-07-09 00:38:42;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['gradient_similarity'];ShapleyValue;28261.388215189
2023-07-09 00:38:45;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['gradient_similarity'];ShapleyValue;28654.162119581
2023-07-09 00:38:57;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['gradient_similarity'];ShapleyValue;6764.237360352
2023-07-09 00:39:11;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['gradient_similarity'];ShapleyValue;20935.303420604
2023-07-09 00:39:12;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['gradient_similarity'];ShapleyValue;26004.60282153
2023-06-08 03:37:14;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;3002195.55931301
2023-06-08 03:37:22;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;3008235.032128405
2023-06-08 03:46:26;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;3558790.178058402
2023-06-08 03:46:27;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;3553883.53462258
2023-06-08 04:27:20;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;3010334.939097032
2023-06-08 04:27:25;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;3004120.159325742
2023-06-08 04:45:39;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;3556246.547372405
2023-06-08 04:45:39;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;3564486.175682332
2023-06-08 05:17:18;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;3002833.522065247
2023-06-08 05:17:35;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;3011591.759724253
2023-06-08 05:38:11;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;3155816.669364088
2023-06-08 05:38:11;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;3160172.701228476
2023-06-22 05:56:52;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;1201481.881178555
2023-06-22 05:57:01;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;1199240.722471544
2023-06-22 06:13:52;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;1017883.322620977
2023-06-22 06:14:12;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;1017017.81731435
2023-06-22 06:29:59;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;966174.750341513
2023-06-22 06:30:35;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;971790.170994459
2023-06-22 20:29:36;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;['accuracy'];ShapleyValue;1685421.2815601
2023-06-22 20:29:36;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;['accuracy'];ShapleyValue;1685402.563373906
2023-06-22 20:55:30;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;['accuracy'];ShapleyValue;1555833.353454069
2023-06-22 20:55:30;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;['accuracy'];ShapleyValue;1555408.730965112
2023-06-22 21:18:34;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;['accuracy'];ShapleyValue;1384455.374321405
2023-06-22 21:18:38;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;['accuracy'];ShapleyValue;1389130.895551834
