time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;method;process time
2023-06-08 14:21:50;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;Individual;29563.504053721
2023-06-08 14:23:47;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;Individual;35657.262119547
2023-06-08 14:24:17;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;LeaveOneOut;183915.417710063
2023-06-08 14:24:23;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;LeaveOneOut;182965.859695874
2023-06-08 14:24:27;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;Individual;30912.016521583
2023-06-08 14:25:11;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;LeaveOneOut;219307.698841992
2023-06-08 14:25:41;bank;label skew;6694;8;BankMLP;0.001;20;8;64;Individual;35893.542257836
2023-06-08 14:26:20;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;Individual;29783.546829225
2023-06-08 14:27:04;bank;label skew;6694;8;BankMLP;0.001;20;8;64;LeaveOneOut;220184.552602485
2023-06-08 14:28:45;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;Individual;34372.094724391
2023-06-08 14:30:52;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;LeaveOneOut;183855.456268409
2023-06-08 14:30:55;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;LeaveOneOut;183274.841085026
2023-06-08 14:31:26;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;Individual;30101.145173066
2023-06-08 14:31:47;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;Individual;30314.787320318
2023-06-08 14:32:44;bank;label skew;6695;8;BankMLP;0.001;20;8;64;Individual;34887.830451197
2023-06-08 14:33:14;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;LeaveOneOut;216889.290629219
2023-06-08 14:34:39;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;Individual;35588.703104157
2023-06-08 14:35:10;bank;label skew;6695;8;BankMLP;0.001;20;8;64;LeaveOneOut;217881.229769929
2023-06-08 14:36:11;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;Individual;30098.20661699
2023-06-08 14:36:28;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;LeaveOneOut;162234.817339488
2023-06-08 14:36:53;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;LeaveOneOut;180984.059870165
2023-06-08 14:39:08;bank;label skew;6696;8;BankMLP;0.001;20;8;64;Individual;29918.626400318
2023-06-08 14:39:50;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;LeaveOneOut;199174.931433623
2023-06-08 14:41:36;bank;label skew;6696;8;BankMLP;0.001;20;8;64;LeaveOneOut;174989.134813925
2023-06-08 03:37:11;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;LeastCore;2999027.32457365
2023-06-08 03:37:14;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;ShapleyValue;3002195.55931301
2023-06-08 03:37:22;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;ShapleyValue;3008235.032128405
2023-06-08 03:37:37;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;LeastCore;3022289.199647699
2023-06-08 03:46:26;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;ShapleyValue;3558790.178058402
2023-06-08 03:46:27;bank;label skew;6694;8;BankMLP;0.001;20;8;64;ShapleyValue;3553883.53462258
2023-06-08 03:46:46;bank;label skew;6694;8;BankMLP;0.001;20;8;64;LeastCore;3573569.188421005
2023-06-08 03:47:05;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;LeastCore;3598097.854672787
2023-06-08 04:27:17;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;LeastCore;3010384.319338096
2023-06-08 04:27:20;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;ShapleyValue;3010334.939097032
2023-06-08 04:27:25;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;ShapleyValue;3004120.159325742
2023-06-08 04:27:51;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;LeastCore;3015674.416361831
2023-06-08 04:45:39;bank;label skew;6695;8;BankMLP;0.001;20;8;64;ShapleyValue;3556246.547372405
2023-06-08 04:45:39;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;ShapleyValue;3564486.175682332
2023-06-08 04:46:17;bank;label skew;6695;8;BankMLP;0.001;20;8;64;LeastCore;3574904.285062297
2023-06-08 04:46:36;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;LeastCore;3581398.739246063
2023-06-08 05:17:18;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;ShapleyValue;3002833.522065247
2023-06-08 05:17:23;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;LeastCore;3010480.249921105
2023-06-08 05:17:35;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;ShapleyValue;3011591.759724253
2023-06-08 05:18:12;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;LeastCore;3023044.845448772
2023-06-08 05:38:11;bank;label skew;6696;8;BankMLP;0.001;20;8;64;ShapleyValue;3155816.669364088
2023-06-08 05:38:11;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;ShapleyValue;3160172.701228476
2023-06-08 05:38:53;bank;label skew;6696;8;BankMLP;0.001;20;8;64;LeastCore;3160064.06562257
2023-06-08 05:39:35;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;LeastCore;3188530.994359315
2023-06-08 12:44:02;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;MC-StructuredSampling-Shapley;861110.905096111
2023-06-08 12:44:34;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;MC-StructuredSampling-Shapley;840178.886904666
2023-06-08 12:47:03;bank;label skew;6694;8;BankMLP;0.001;20;8;64;MC-StructuredSampling-Shapley;1004442.882429688
2023-06-08 12:47:24;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;MC-StructuredSampling-Shapley;1038821.57158359
2023-06-08 12:56:38;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;MC-LeastCore;1625609.558413305
2023-06-08 12:56:39;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;MC-LeastCore;1628232.87410391
2023-06-08 12:57:55;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;MC-StructuredSampling-Shapley;678791.432348593
2023-06-08 13:00:29;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;MC-StructuredSampling-Shapley;665343.950234019
2023-06-08 13:01:57;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;MC-LeastCore;1949064.337602499
2023-06-08 13:02:47;bank;label skew;6695;8;BankMLP;0.001;20;8;64;MC-StructuredSampling-Shapley;803083.507292791
2023-06-08 13:03:40;bank;label skew;6694;8;BankMLP;0.001;20;8;64;MC-LeastCore;1936332.143763175
2023-06-08 13:04:21;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;MC-StructuredSampling-Shapley;824940.026523326
2023-06-08 13:14:42;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;MC-StructuredSampling-Shapley;817523.207516163
2023-06-08 13:15:28;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;MC-StructuredSampling-Shapley;808899.062940563
2023-06-08 13:21:32;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;MC-LeastCore;1373355.868503649
2023-06-08 13:21:58;bank;label skew;6696;8;BankMLP;0.001;20;8;64;MC-StructuredSampling-Shapley;943706.688163982
2023-06-08 13:22:07;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;MC-LeastCore;1381743.724073196
2023-06-08 13:23:47;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;MC-StructuredSampling-Shapley;979969.021235932
2023-06-08 13:31:58;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;MC-LeastCore;1619324.863044693
2023-06-08 13:32:03;bank;label skew;6695;8;BankMLP;0.001;20;8;64;MC-LeastCore;1594402.412439303
2023-06-08 13:42:58;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;MC-LeastCore;1204805.95317652
2023-06-08 13:44:29;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;MC-LeastCore;1210464.405710057
2023-06-08 13:58:23;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;MC-LeastCore;1427662.3743651109
2023-06-08 13:59:06;bank;label skew;6696;8;BankMLP;0.001;20;8;64;MC-LeastCore;1432655.286750839
2023-06-20 22:22:21;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;GTG-Shapley;327729.582460773
2023-06-20 22:26:11;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;GTG-Shapley;459033.682381738
2023-06-20 22:32:01;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;GTG-Shapley;517914.147421761
2023-06-20 22:32:18;bank;label skew;6694;8;BankMLP;0.001;20;8;64;GTG-Shapley;557124.831455138
2023-06-20 22:32:42;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;GTG-Shapley;311556.183130116
2023-06-20 22:33:10;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;MultiRounds;966893.492903504
2023-06-20 22:40:14;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;GTG-Shapley;426060.906259194
2023-06-20 22:41:19;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;MultiRounds;1359738.320406789
2023-06-20 22:44:12;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;GTG-Shapley;317489.190036978
