time;dataset;alpha;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;client number;contribution
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0;0.00851618405431509
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;1;0.2495754361152649
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;2;0.2117389440536499
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;3;0.30402886867523193
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;4;-0.0009054795373231173
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;5;0.1259085237979889
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;6;0.08941095322370529
2024-03-30 03:01:57;dota2;0.4;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;7;0.0117265610024333
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0;0.026456374675035477
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;1;0.2120589017868042
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;2;0.1756434440612793
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;3;0.3122304379940033
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;4;0.026715416461229324
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;5;0.12824225425720215
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;6;0.07442441582679749
2024-03-30 03:02:07;dota2;0.8;label skew;6694;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;7;0.04422880709171295
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0;0.01663929596543312
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;1;0.2212384194135666
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;2;0.18896269798278809
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;3;0.28791558742523193
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;4;0.013512377627193928
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;5;0.12549373507499695
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;6;0.10968466848134995
2024-03-30 03:02:08;bank;0.35;quantity skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;7;0.0365532748401165
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;0;-0.0064481450244784355
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;1;0.2070866823196411
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;2;0.21308782696723938
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;3;0.3136199712753296
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;4;0.009043562225997448
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;5;0.12224578857421875
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;6;0.08332401514053345
2024-03-30 03:02:10;bank;0.8;label skew;6694;8;BankMLP;0.001;20;8;64;gradient_similarity;ShapleyValue;7;0.05804026871919632
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0;0.011337131261825562
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;1;0.21236535906791687
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;2;0.17147502303123474
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;3;0.32629403471946716
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;4;0.009682067669928074
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;5;0.11871539801359177
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;6;0.10511456429958344
2024-03-30 03:02:11;adult;0.365;quantity skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;7;0.04501624032855034
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0;0.04796295613050461
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;1;0.12427305430173874
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;2;0.35558539628982544
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;3;0.13167884945869446
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;4;0.004917449317872524
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;5;0.1867707371711731
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;6;0.1362016499042511
2024-03-30 03:02:13;dota2;0.4;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;7;0.012610118836164474
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0;-0.007806059904396534
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;1;0.1877952367067337
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;2;0.29658937454223633
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;3;0.4328712224960327
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;4;-0.0008670005481690168
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;5;0.05359667167067528
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;6;0.027535390108823776
2024-03-30 03:02:13;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;7;0.010285290889441967
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;0;-0.01766318455338478
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;1;0.2389747053384781
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;2;0.16872456669807434
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;3;0.31586599349975586
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;4;0.0005408989381976426
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;5;0.1482018530368805
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;6;0.10234681516885757
2024-03-30 03:02:13;adult;0.8;label skew;6694;8;AdultMLP;0.001;25;24;64;gradient_similarity;ShapleyValue;7;0.04300818219780922
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;0;0.004757010843604803
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;1;0.2624681293964386
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;2;0.163479745388031
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;3;0.41712257266044617
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;4;0.00024955865228548646
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;5;0.06554011255502701
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;6;0.06824132800102234
2024-03-30 03:02:13;tictactoe;0.65;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;gradient_similarity;ShapleyValue;7;0.018141329288482666
2024-03-30 03:02:29;dota2;0.4;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;0;0.1322522610425949
2024-03-30 03:02:29;dota2;0.4;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;gradient_similarity;ShapleyValue;1;0.23122519254684448
