time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value functions;method;process time
2024-03-28 01:39:53;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;564878.012532446
2024-03-28 01:40:08;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;552594.055658056
2024-03-28 01:46:58;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;985020.466634269
2024-03-28 01:48:36;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1064530.943374917
2024-03-28 01:50:48;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;594243.105893716
2024-03-28 01:50:58;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;560254.148300541
2024-03-28 01:52:26;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1352337.120599694
2024-03-28 01:53:06;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1389630.506722108
2024-03-28 01:53:14;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1414800.941046043
2024-03-28 01:53:16;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1415699.732087937
2024-03-28 02:00:57;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;515453.050667897
2024-03-28 02:00:58;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;512162.15778972
2024-03-28 02:03:29;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;927791.707531333
2024-03-28 02:07:49;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;2026710.787569484
2024-03-28 02:08:16;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;2243097.35628696
2024-03-28 02:08:33;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1080908.09161772
2024-03-28 02:09:11;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;2377385.928436077
2024-03-28 02:09:15;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;2381322.49263949
2024-03-28 02:09:18;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;2235854.055174085
2024-03-28 02:11:29;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;2283223.004407253
2024-03-28 02:12:56;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;2602666.410428596
2024-03-28 02:13:22;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;2629149.750589212
2024-03-28 02:14:48;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1330730.31393108
2024-03-28 02:15:35;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1336061.027082414
2024-03-28 02:15:50;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1352533.899093951
2024-03-28 02:15:51;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1352664.985820639
2024-03-28 02:19:32;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;856101.199668243
2024-03-28 02:27:40;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;995866.316966388
2024-03-28 02:34:55;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1190160.632314979
2024-03-28 02:36:04;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1210486.586322388
2024-03-28 02:36:06;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1209279.586102189
2024-03-28 02:36:12;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1216006.556778367
2024-03-28 02:41:22;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1786137.533657708
2024-03-28 02:43:29;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;2056863.49046629
2024-03-28 02:43:38;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;2069458.232116148
2024-03-28 02:44:15;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;2063174.666009773
2024-03-28 02:47:05;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1954798.134415262
2024-03-28 02:48:01;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;4706216.191072578
2024-03-28 02:48:12;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;4715252.436081593
2024-03-28 02:48:19;adult;quantity skew;6695;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;2223625.248971905
2024-03-28 02:52:43;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;4991842.474862038
2024-03-28 02:53:34;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;2441154.944267587
2024-03-28 02:54:06;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;5069473.713815938
2024-03-28 02:54:11;bank;quantity skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;5079900.731804544
2024-03-28 02:54:12;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;2451969.20133394
2024-03-28 02:54:13;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;5077071.639006404
2024-03-28 02:59:42;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;5411119.903797349
2024-03-28 02:59:44;adult;quantity skew;6694;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;5413480.984366622
2024-03-28 03:11:46;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1639026.901393408
2024-03-28 03:12:22;bank;quantity skew;6696;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1503823.884509636
2024-03-28 03:15:57;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1510030.854814216
2024-03-28 03:16:02;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;1954356.770032872
2024-03-28 03:16:05;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;1948812.651449556
2024-03-28 03:22:56;adult;quantity skew;6696;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];MC-StructuredSampling-Shapley;1882776.590133077
2024-03-28 03:31:28;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;2275858.463113897
2024-03-28 03:32:10;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;2280494.517940087
2024-03-28 03:46:15;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;3494637.600027085
2024-03-28 03:46:19;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;3487368.124688562
2024-03-28 03:54:09;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;3689266.699980384
2024-03-28 03:55:57;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];LeastCore;3703161.600355877
2024-03-28 03:55:58;bank;quantity skew;6695;8;BankMLP;0.001;20;8;64;['f1', 'f1_macro', 'f1_micro', 'accuracy'];ShapleyValue;3710217.030080474
