time;dataset;alpha;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;attack method;attack arg;num attack clients;client number;contribution
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;0;0.11594202898550725
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;1;0.8571428571428571
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;2;0.9516129032258064
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;3;0.9344262295081968
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;4;0.16216216216216217
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;5;0.8104575163398694
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;6;0.7924528301886793
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;label flip;0.1;1;7;0.7058823529411765
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;0;0.31000353481795684
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;1;0.7362637362637363
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;2;0.9316888045540797
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;3;0.9100702576112413
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;4;0.32552693208430916
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;5;0.5791383219954648
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;6;0.39622641509433965
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;label flip;0.1;1;7;0.6862745098039216
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;0;0.36458333333333326
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;1;0.7916666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;2;0.9375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;3;0.9166666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;4;0.375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;5;0.6979166666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;6;0.65625
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;label flip;0.1;1;7;0.6875
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;0;0.3645833333333333
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;1;0.7916666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;2;0.9375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;3;0.9166666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;4;0.375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;5;0.6979166666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;6;0.65625
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;label flip;0.1;1;7;0.6875
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;0;0.03125
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;1;0.8571428571428571
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;2;0.9516129032258064
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;3;0.9344262295081968
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;4;0.16216216216216217
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;5;0.8104575163398694
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;6;0.7924528301886793
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;Individual;random data generation;0.1;1;7;0.7058823529411765
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;0;0.2734375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;1;0.7362637362637363
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;2;0.9316888045540797
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;3;0.9100702576112413
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;4;0.32552693208430916
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;5;0.5791383219954648
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;6;0.39622641509433965
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;Individual;random data generation;0.1;1;7;0.6862745098039216
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;0;0.3541666666666667
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;1;0.7916666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;2;0.9375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;3;0.9166666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;4;0.375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;5;0.6979166666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;6;0.65625
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;Individual;random data generation;0.1;1;7;0.6875
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;0;0.3541666666666667
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;1;0.7916666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;2;0.9375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;3;0.9166666666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;4;0.375
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;5;0.6979166666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;6;0.65625
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;Individual;random data generation;0.1;1;7;0.6875
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;0;0.0027487770396996576
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;1;0.186044685497576
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;2;0.2384106577177756
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;3;0.2189455463154914
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;4;0.0174641211469157
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;5;0.1599537531947847
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;6;0.14846941446407588
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;MC-StructuredSampling-Shapley;label flip;0.1;1;7;0.14585063259037553
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;0;0.03370018013483415
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;1;0.15994419527540288
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;2;0.2645117605866837
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;3;0.24855717602069663
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;4;0.03817665398133215
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;5;0.09068361142040507
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;6;0.039377831071555035
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;MC-StructuredSampling-Shapley;label flip;0.1;1;7;0.1253228476078033
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;0;0.039713541666666664
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;1;0.16145833333333337
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;2;0.24088541666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;3;0.21809895833333334
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;4;0.04427083333333334
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;5;0.11783854166666669
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;6;0.09765625
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_micro;MC-StructuredSampling-Shapley;label flip;0.1;1;7;0.11848958333333334
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;0;0.03971354166666668
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;1;0.16145833333333337
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;2;0.24088541666666666
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;3;0.21809895833333334
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;4;0.044270833333333336
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;5;0.11783854166666669
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;6;0.09765625
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;accuracy;MC-StructuredSampling-Shapley;label flip;0.1;1;7;0.11848958333333334
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;0;0.0041935483870967905
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;1;0.17272888754964477
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;2;0.26719893363259406
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;3;0.25001225991498444
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;4;0.004193548387096846
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;5;0.1271819557039013
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;6;0.10803886059546697
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1;LeastCore;random data generation;0.1;1;7;0.03520200582921462
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.1;1;0;0.007793215282900889
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.1;1;1;0.1780780642517742
2024-03-30 02:04:04;tictactoe;0.8;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;f1_macro;LeastCore;random data generation;0.1;1;2;0.36378607604674273
