time;dataset;alpha;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;client number;contribution
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;0;0.04152247780670802
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;1;-0.00025085255999557354
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;2;0.08066243918878754
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;3;0.050088845296047214
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;4;0.0779760491358286
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;5;0.02090789806444667
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;6;0.02933126801149501
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;7;0.05314052438953039
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;8;0.05284293359575801
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;9;0.017505459880845082
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;10;0.04989644417445286
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;11;0.060262827707155964
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;12;0.08087740744941731
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1;MC-LeastCore;13;0.07827363992960099
2024-03-30 02:28:45;dota2;0.625;quantity skew;6694;14;Dota2MLP;0.001;5;4;128;f1_macro;MC-LeastCore;0;0.02978997744846746
